A	B	Score
GAB2	A1BG	900
GRB2	A1BG	900
PIK3CA	A1BG	900
PIK3R1	A1BG	900
PTPN11	A1BG	904
APOBEC3A	A1CF	904
APOBEC3H	A1CF	900
MMP12	A2M	900
MMP9	A2M	900
ALYREF	AAAS	902
CASC3	AAAS	900
KPNB1	AAAS	900
MAGOH	AAAS	914
MAGOHB	AAAS	914
NCBP1	AAAS	902
NCBP2	AAAS	900
NDC1	AAAS	911
NPM1	AAAS	900
NUP107	AAAS	950
NUP133	AAAS	908
NUP153	AAAS	907
NUP155	AAAS	948
NUP160	AAAS	914
NUP188	AAAS	902
NUP205	AAAS	930
NUP210	AAAS	909
NUP214	AAAS	919
NUP35	AAAS	908
NUP37	AAAS	938
NUP42	AAAS	909
NUP43	AAAS	955
NUP50	AAAS	909
NUP54	AAAS	924
NUP62	AAAS	934
NUP85	AAAS	916
NUP88	AAAS	919
NUP93	AAAS	919
NXF1	AAAS	901
NXT1	AAAS	902
POLDIP3	AAAS	902
POM121	AAAS	901
POM121C	AAAS	901
RAE1	AAAS	910
RANBP2	AAAS	909
RANGAP1	AAAS	921
RBM8A	AAAS	902
RNPS1	AAAS	902
SRRM1	AAAS	902
SUMO1	AAAS	902
TPR	AAAS	902
UBE2I	AAAS	902
UPF3B	AAAS	900
AGFG1	AAK1	908
AGTR1	AAK1	900
AP2B1	AAK1	938
ARPC4	AAK1	901
ARRB1	AAK1	902
ARRB2	AAK1	902
CD3G	AAK1	900
CHRM2	AAK1	900
CLTC	AAK1	924
CLTCL1	AAK1	924
EPN1	AAK1	920
EPS15L1	AAK1	932
FCHO1	AAK1	928
FCHO2	AAK1	928
FNBP1	AAK1	909
FZD4	AAK1	902
HSPA8	AAK1	904
LDLR	AAK1	902
NECAP2	AAK1	932
PACSIN1	AAK1	902
PACSIN3	AAK1	902
RAB5C	AAK1	902
REPS1	AAK1	963
SNAP91	AAK1	927
STON2	AAK1	902
SYNJ1	AAK1	917
UBA52	AAK1	905
UBC	AAK1	904
AARS1	AARS2	811
ABCD4	ABCA2	905
ATP1A4	ABCA2	901
ABCA2	ABCB6	905
ABCD4	ABCB6	905
ABCG8	ABCB6	905
ATP1A4	ABCB6	900
KCNJ11	ABCC8	913
KCNJ11	ABCC9	947
ABCD2	ABCD1	910
ABCD3	ABCD1	950
PEX19	ABCD1	923
ABCD3	ABCD2	946
PEX19	ABCD2	923
ATP1A4	ABCD4	900
RNASEL	ABCE1	901
DHX9	ABCF1	904
EIF2S2	ABCF1	943
RPL10A	ABCF1	909
RPL11	ABCF1	905
RPL18	ABCF1	905
RPL24	ABCF1	903
RPL30	ABCF1	905
RPL31	ABCF1	902
RPL32	ABCF1	904
RPL36	ABCF1	900
RPL36A	ABCF1	900
RPL39	ABCF1	905
RPL41	ABCF1	900
RPL6	ABCF1	902
RPS21	ABCF1	904
RPS26	ABCF1	902
RPS28	ABCF1	916
RPS29	ABCF1	903
ABCA2	ABCG8	900
ABCD4	ABCG8	905
ATP1A4	ABCG8	901
ACTG1	ABI1	909
ACTR2	ABI1	923
ARPC1B	ABI1	902
ARPC4	ABI1	913
BRK1	ABI1	937
CYFIP1	ABI1	939
ITGA4	ABI1	900
ITGB1	ABI1	900
WASF1	ABI1	927
WASF2	ABI1	927
